dataset,treatment,budget,time
SS-O,progressive,15,127.4911
SS-O,progressive,40,340.7683
SS-O,progressive,9,69.2008
SS-O,rand,15,1.5544
SS-O,rand,40,1.6159
SS-O,rand,9,1.5074
SS-O,SimAnnealing,15,128.8733
SS-O,SimAnnealing,40,345.2337
SS-O,SimAnnealing,9,60.4539
SS-O,UCB,15,256.7492
SS-O,UCB,40,693.4245
SS-O,UCB,9,111.4839
SS-P,b2,15,134.8414
SS-P,b2,40,340.9205
SS-P,b2,9,70.9492
SS-P,base,,1.5252
SS-P,bonr,15,134.6291
SS-P,bonr,40,367.1175
SS-P,bonr,9,65.8192
SS-P,EI,15,247.7677
SS-P,EI,9,110.9957
SS-P,ExpProgressive,15,134.5984
SS-P,ExpProgressive,40,350.6041
SS-P,ExpProgressive,9,71.6918
SS-P,PI,15,238.3102
SS-P,PI,9,121.7785
SS-P,progressive,15,141.8679
SS-P,progressive,40,351.5301
SS-P,progressive,9,70.8691
SS-P,rand,15,2.0018
SS-P,rand,40,2.0372
SS-P,rand,9,1.7867
SS-P,SimAnnealing,15,138.6654
SS-P,SimAnnealing,40,349.1363
SS-P,SimAnnealing,9,59.5043
SS-P,UCB,15,243.3092
SS-P,UCB,9,116.1036
SS-S,b2,15,215.7629
SS-S,b2,40,543.9068
SS-S,b2,9,86.7352
SS-S,base,,4.3299
SS-S,bonr,15,217.5993
SS-S,bonr,40,510.0526
SS-S,bonr,9,98.2151
SS-S,EI,15,718.4478
SS-S,EI,40,1728.2119
SS-S,EI,9,402.9108
SS-S,ExpProgressive,15,206.6311
SS-S,ExpProgressive,40,501.6855
SS-S,ExpProgressive,9,90.1024
SS-S,PI,15,699.6392
SS-S,PI,40,1708.8211
SS-S,PI,9,386.3403
SS-S,progressive,15,217.062
SS-S,progressive,40,489.0764
SS-S,progressive,9,105.3943
SS-S,rand,15,4.3681
SS-S,rand,40,4.8746
SS-S,rand,9,4.6085
SS-S,SimAnnealing,15,219.9925
SS-S,SimAnnealing,40,535.0372
SS-S,SimAnnealing,9,91.7615
SS-S,UCB,15,687.8845
SS-S,UCB,40,1663.8454
SS-S,UCB,9,385.5597
SS-V,b2,15,787.567
SS-V,b2,40,1674.3856
SS-V,b2,9,485.6873
SS-V,base,,11.8512
SS-V,bonr,15,790.3409
SS-V,bonr,40,1731.2846
SS-V,bonr,9,486.687
SS-V,EI,15,1131.2043
SS-V,EI,40,2678.1145
SS-V,EI,9,603.2435
SS-V,ExpProgressive,15,793.4199
SS-V,ExpProgressive,40,1739.4282
SS-V,ExpProgressive,9,502.1855
SS-V,PI,15,1093.4022
SS-V,PI,40,2622.7327
SS-V,PI,9,578.6243
SS-V,progressive,15,796.0472
SS-V,progressive,40,1725.0002
SS-V,progressive,9,486.8874
SS-V,rand,15,13.1574
SS-V,rand,40,12.4295
SS-V,rand,9,12.1049
SS-V,SimAnnealing,15,785.6924
SS-V,SimAnnealing,40,1755.0734
SS-V,SimAnnealing,9,480.9456
SS-V,UCB,15,1013.4538
SS-V,UCB,40,2636.1176
SS-V,UCB,9,571.3865
SS-W,b2,15,3358.2934
SS-W,b2,40,5860.6431
SS-W,b2,9,2218.2474
SS-W,base,,108.1431
SS-W,bonr,15,3424.563
SS-W,bonr,40,5834.2519
SS-W,bonr,9,2262.381
SS-W,EI,15,4162.8692
SS-W,EI,40,8706.6219
SS-W,EI,9,2616.9759
SS-W,ExpProgressive,15,3444.6065
SS-W,ExpProgressive,40,5880.6357
SS-W,ExpProgressive,9,2243.0893
SS-W,PI,15,4074.4808
SS-W,PI,40,8466.0752
SS-W,PI,9,2563.7144
SS-W,progressive,15,3424.7039
SS-W,progressive,40,5858.1355
SS-W,progressive,9,2240.8382
SS-W,rand,15,117.6785
SS-W,rand,40,113.9129
SS-W,rand,9,115.727
SS-W,SimAnnealing,15,3396.5326
SS-W,SimAnnealing,40,5875.4965
SS-W,SimAnnealing,9,2235.1738
SS-W,UCB,15,4053.1842
SS-W,UCB,40,8856.9207
SS-W,UCB,9,2604.2208
SS-X,b2,15,3268.0621
SS-X,b2,40,5695.0788
SS-X,b2,9,2106.4401
SS-X,base,,107.1341
SS-X,bonr,15,3346.2772
SS-X,bonr,40,5714.3003
SS-X,bonr,9,2147.4667
SS-X,EI,15,4658.6171
SS-X,EI,40,10156.0118
SS-X,EI,9,2986.4533
SS-X,ExpProgressive,15,3351.1833
SS-X,ExpProgressive,40,5718.8036
SS-X,ExpProgressive,9,2155.2142
SS-X,PI,15,4641.5519
SS-X,PI,40,9823.0942
SS-X,PI,9,2910.088
SS-X,progressive,15,3385.0871
SS-X,progressive,40,5740.2977
SS-X,progressive,9,2199.6325
SS-X,rand,15,122.2935
SS-X,rand,40,121.7942
SS-X,rand,9,120.0145
SS-X,SimAnnealing,15,3362.2781
SS-X,SimAnnealing,40,5708.0775
SS-X,SimAnnealing,9,2171.5145
SS-X,UCB,15,4627.9493
SS-X,UCB,40,9486.2342
SS-X,UCB,9,3008.57
Wine_quality,b2,15,141.4159
Wine_quality,b2,40,379.0928
Wine_quality,b2,9,68.5169
Wine_quality,base,,2.7277
Wine_quality,bonr,15,155.5215
Wine_quality,bonr,40,396.766
Wine_quality,bonr,9,74.4307
Wine_quality,EI,15,414.2017
Wine_quality,EI,40,1000.3714
Wine_quality,EI,9,208.2811
Wine_quality,ExpProgressive,15,155.1177
Wine_quality,ExpProgressive,40,383.0941
Wine_quality,ExpProgressive,9,77.1635
Wine_quality,PI,15,401.7372
Wine_quality,PI,40,980.854
Wine_quality,PI,9,208.4797
Wine_quality,progressive,15,155.2992
Wine_quality,progressive,40,365.9602
Wine_quality,progressive,9,79.0956
Wine_quality,rand,15,2.465
Wine_quality,rand,40,2.9169
Wine_quality,rand,9,2.8314
Wine_quality,SimAnnealing,15,152.6216
Wine_quality,SimAnnealing,40,384.1879
Wine_quality,SimAnnealing,9,71.6693
Wine_quality,UCB,15,426.2319
Wine_quality,UCB,40,983.3743
Wine_quality,UCB,9,196.7597
Apache_AllMeasurements,b2,15,54.0082
Apache_AllMeasurements,b2,40,121.6884
Apache_AllMeasurements,b2,9,32.178
Apache_AllMeasurements,base,,0.5404
Apache_AllMeasurements,bonr,15,53.8676
Apache_AllMeasurements,bonr,40,119.3567
Apache_AllMeasurements,bonr,9,32.79
Apache_AllMeasurements,EI,15,104.2406
Apache_AllMeasurements,EI,40,254.4831
Apache_AllMeasurements,EI,9,54.1282
Apache_AllMeasurements,ExpProgressive,15,62.3189
Apache_AllMeasurements,ExpProgressive,40,126.9934
Apache_AllMeasurements,ExpProgressive,9,41.3539
Apache_AllMeasurements,PI,15,99.1138
Apache_AllMeasurements,PI,40,252.5567
Apache_AllMeasurements,PI,9,52.033
Apache_AllMeasurements,progressive,15,69.6901
Apache_AllMeasurements,progressive,40,128.4775
Apache_AllMeasurements,progressive,9,39.3814
Apache_AllMeasurements,rand,15,0.6037
Apache_AllMeasurements,rand,40,0.8562
Apache_AllMeasurements,rand,9,0.7189
Apache_AllMeasurements,SimAnnealing,15,57.5754
Apache_AllMeasurements,SimAnnealing,40,123.7008
Apache_AllMeasurements,SimAnnealing,9,35.7781
Apache_AllMeasurements,UCB,15,94.2475
Apache_AllMeasurements,UCB,40,248.9684
Apache_AllMeasurements,UCB,9,50.8821
healthCloseIsses12mths0011-easy,b2,15,540.5213
healthCloseIsses12mths0011-easy,b2,40,947.4583
healthCloseIsses12mths0011-easy,b2,9,352.5551
